CASO,Unnamed: 1,FECHA DEL HALLAZGO,AÑO,MUNUCUPIO,ZONA,Coord_Y,Coord_X,CUERPOS ENCONTRADOS,MODALIDAD DE FOSA,CARACTERÍSTICAS DEL SITIO DE HALLAZGO,QUIÉN HIZO EL HALLAZGO,DESCRIPCIÓN,Unnamed: 13
44.0,,5 de mayo 2025,2025.0,Palmar de Bravo,"Límites entre el rancho Trinidad y Rancho San Javier. A unos metros del Camino Nacional que conduce de Rancho Verde a Santa Ana, el terrenos de cultivo del paraje ""Ranchos de San Javier"" en Palmar de Bravo, Puebla.",18.803806,-97.539884,1 hombre,Campo de cultivo,Fosa en terreno de cultivo,Pobladores. La Voz de los Desaparecidos,"Luego de casi 20 horas del reporte inicial, la Fiscalía General del Estado (FGE) de Puebla llegó hasta Palmar de Bravo para iniciar las investigaciones
https://www.milenio.com/policia/fge-puebla-realiza-diligencias-fosa-clandestina-palmar-bravo la FGE identificó los restos como pertenecientes a Cristian Monterrosas Navarro, joven de 26 años reportado como desaparecido desde el 10 de abril. El joven salió de casa para ir a una fiesta. Se subió a la batea de una camioneta de color negro con rumbo a Palmarito Tochapan. El joven era oriundo de la localidad de Cuesta Blanca, en el municipio de Palmar de Bravo donde el pasado 5 de mayo fue localizada una fosa clandestina con restos óseos en un paraje conocido como Rancho La Trinidad.",https://twitter.com/i/status/1919811778252353832      https://www.tiktok.com/@elsoldepuebla/video/7501447771090717958                                                                                                https://twitter.com/i/status/1919811778252353832
45.0,Ubicación aproximada,domingo 22 de junio 2025,2025.0,Palmar de Bravo,Terrenos de cultivo de la comunidad La Purísima,FOSAS CLANDESTINAS REPORTADAS EN EL ESTADO DE PUEBLA (2012-2025),97.563019,1 hombre,Campo de cultivo,1 fosa,Pobladores. La Voz de los Desaparecidos. El Secretario de Gobernación del estado afirmó que fueron militares de la base cercana quienes reportaron el hallazgo,Se encontraron restos oseos,
46.0,Ubicación aproximada,Sábado 30 de junio  de julio 2025,2025.0,Nativitas Tlaxcala,"Campo de cultivo en ejido Santo Tomás La Concordia en Nativitas, Tlaxcala. A orillas del río Atoyac,","19°13'34""N"," 98°18'03""W",3 (masculinos),Terreno baldío,1 fosa,Pobladores,"Se identificaron como Charly N. y Juan Carlos de 21 y 33 años tío y sobrino respectivamente quienes eran originarios de San Martín Texmelucan, Puebla. Las autoridades informaron que ambos fueron levantados el 27 de junio por un grupo armado en la zona de Apizaco. Con ellos se encontró el cuerpo de otro hombre, de unos 40 años, presuntamente originario de Tlaxcala. Los cuerpos estaban semienterrados",
47.0,Ubicación aproximada,25 de julio 2025,2025.0,Los Reyes de Juárez,"Junta Auxiliar Benito Juárez, municipio de Los Reyes de Juárez","18.941196 
",-97.833756,2 (sin identificación de sexo),Terreno baldío,1 fosa,Pobladores,"El hallazgo lo hicieron habitantes de junta auxiliar de Benito Juárez la mañana del viernes 25 de julio, cuando buscaban a un hombre desaparecido desde hace varios días. De acuerdo a los reportes, el grupo recorrió varios puntos, entre ellos uno cerca de un basurero y del campo de béisbol de la junta auxiliar. Las personas se percataron que una zona estaba removida la tierra, por lo que procedieron a escarbar hasta encontrar 2 cadáveres dentro de bolsas plásticas.",

48.0,Ubicación aproximada,05/04/2020,2020,Tlaola,"Predio Cupango, en el paraje conocido como La Cadena, Junta auxiliar de Xaltepuxtla",20.171896,-97.982236,1 hombre,Campo de cultivo,Fosa cavada en un sembradío de pinos en el paraje conocido como La Cadena,Poblador,"Se trataría de un trabajador del ayuntamiento identificado con las iniciales R.M. de 38 años, de origen veracruzano, que vivía en la junta auxiliar de Necaxa y había sido escolta del presidente municipal del municipio de Juan Galindo, Carlos Garrido. Días antes de su desaparición había dejado de trabajar con él. El viernes 2 de abril no llegó a su casa y su familia reportó su desaparición en redes sociales. El cuerpo presentaba heridas de arma de fuego. De acuerdo a la prensa, la semana pasada se reportaron detonaciones de arma de fuego hechas por sujetos armados que tripulaban un vehículo tipo Ford de modelo atrasado. El propietario del predio habría solicitado la intervención de la policía municipal tras el hallazgo de un cuerpo semienterrado en una fosa de aproximadamente 1 metro de profundidad.",https://elpopular.mx/secciones/seguridad/2020/04/07/hallan-cadaver-de-un-hombre-en-una-fosa-del-municipio-de-tlaola
49.0,Ubicación aproximada,09/07/2018,2018,Lafragua,Paraje Toluca de la localidad de Saltillo,19.291427,-97.292719,1 hombre y 1 mujer,Campo de cultivo,Se desconocen,Poblador,"El hombre podría ser G.O., quien fue reportado como desaparecido desde el pasado 11 de diciembre de 2017.",Encuentran dos cadáveres en fosa clandestina de Lafragua - Ángulo 7
50.0,Ubicación aproximada,,2024,Coxcatlán,Población de San Rafael,18.187279,-97.143663,1 hombre,Campo de cultivo,Se desconocen,Poblador,"El cuerpo presentaba impactos de bala; se presume que fue ejecutado en otro lugar y posteriormente abandonado en los campos de cultivo.",
51.0,Ubicación aproximada,,,Tulcingo del Valle,Indeterminada,18.046454,-98.42324,1 hombre. 2 fosas con fragmentos óseos,Se desconoce,Se desconocen,Se desconoce,"Se han encontrado 3 fosas en el municipio, pero no se encontraron datos para precisar las características de los sitios de hallazgo.",


